当前时间(s): 0.0 音符打开: B3; 力度: 85(强)
当前时间(s): 44.752 音符打开: #C5; 力度: 85(强)
当前时间(s): 44.935 音符关闭: #D3; 力度: 55
当前时间(s): 44.937 音符打开: #F2; 力度: 85(强)
当前时间(s): 44.938 音符关闭: #C5; 力度: 55
当前时间(s): 44.939 音符打开: B4; 力度: 85(强)
当前时间(s): 44.939 音符打开: #D5; 力度: 85(强)
当前时间(s): 45.122 音符关闭: #F2; 力度: 55
当前时间(s): 45.124 音符打开: #C3; 力度: 85(强)
当前时间(s): 45.125 音符关闭: B4; 力度: 55
当前时间(s): 45.125 音符关闭: #D5; 力度: 55
当前时间(s): 45.126 音符打开: B4; 力度: 85(强)
当前时间(s): 45.126 音符打开: #D5; 力度: 85(强)
当前时间(s): 45.309 音符关闭: #C3; 力度: 55
当前时间(s): 45.311 音符打开: #F2; 力度: 85(强)
当前时间(s): 45.312 音符关闭: B4; 力度: 55
当前时间(s): 45.312 音符关闭: #D5; 力度: 55
当前时间(s): 45.313 音符打开: B4; 力度: 85(强)
当前时间(s): 45.313 音符打开: #D5; 力度: 85(强)
当前时间(s): 45.496 音符关闭: #F2; 力度: 55
当前时间(s): 45.498 音符打开: #C3; 力度: 85(强)
当前时间(s): 45.499 音符关闭: B4; 力度: 55
当前时间(s): 45.499 音符关闭: #D5; 力度: 55
当前时间(s): 45.501 音符打开: E5; 力度: 85(强)
当前时间(s): 45.684 音符关闭: #C3; 力度: 55
当前时间(s): 45.685 音符打开: #F2; 力度: 85(强)
当前时间(s): 45.686 音符关闭: E5; 力度: 55
当前时间(s): 45.688 音符打开: B4; 力度: 85(强)
当前时间(s): 45.688 音符打开: #D5; 力度: 85(强)
当前时间(s): 45.871 音符关闭: #F2; 力度: 55
当前时间(s): 45.872 音符打开: #C3; 力度: 85(强)
当前时间(s): 46.058 音符关闭: #C3; 力度: 55
当前时间(s): 46.059 音符打开: #F2; 力度: 85(强)
当前时间(s): 46.061 音符关闭: B4; 力度: 55
当前时间(s): 46.061 音符关闭: #D5; 力度: 55
当前时间(s): 46.062 音符打开: #C5; 力度: 85(强)
当前时间(s): 46.245 音符关闭: #F2; 力度: 55
当前时间(s): 46.246 音符打开: #C3; 力度: 85(强)
当前时间(s): 46.248 音符关闭: #C5; 力度: 55
当前时间(s): 46.249 音符打开: #F4; 力度: 85(强)
当前时间(s): 46.249 音符打开: B4; 力度: 85(强)
当前时间(s): 46.432 音符关闭: #C3; 力度: 55
当前时间(s): 46.434 音符打开: E2; 力度: 85(强)
当前时间(s): 46.619 音符关闭: E2; 力度: 55
当前时间(s): 46.621 音符打开: B2; 力度: 85(强)
当前时间(s): 46.806 音符关闭: B2; 力度: 55
当前时间(s): 46.808 音符打开: E2; 力度: 85(强)
当前时间(s): 46.993 音符关闭: E2; 力度: 55
当前时间(s): 46.995 音符打开: B2; 力度: 85(强)
当前时间(s): 47.181 音符关闭: B2; 力度: 55
当前时间(s): 47.182 音符打开: E2; 力度: 85(强)
当前时间(s): 47.368 音符关闭: E2; 力度: 55
当前时间(s): 47.369 音符打开: E2; 力度: 85(强)
当前时间(s): 47.555 音符关闭: E2; 力度: 55
当前时间(s): 47.556 音符打开: B2; 力度: 85(强)
当前时间(s): 47.742 音符关闭: B2; 力度: 55
当前时间(s): 47.748 音符关闭: #F4; 力度: 55
当前时间(s): 47.748 音符关闭: B4; 力度: 55
当前时间(s): 47.749 音符打开: #D6; 力度: 85(强)
当前时间(s): 47.841 音符关闭: #D6; 力度: 55
当前时间(s): 47.843 音符打开: E6; 力度: 85(强)
当前时间(s): 47.931 音符打开: E2; 力度: 85(强)
当前时间(s): 47.934 音符关闭: E6; 力度: 55
当前时间(s): 47.936 音符打开: #D6; 力度: 85(强)
当前时间(s): 48.117 音符关闭: E2; 力度: 55
当前时间(s): 48.118 音符打开: B2; 力度: 85(强)
当前时间(s): 48.121 音符关闭: #D6; 力度: 55
当前时间(s): 48.123 音符打开: B5; 力度: 85(强)
当前时间(s): 48.304 音符关闭: B2; 力度: 55
当前时间(s): 48.305 音符打开: E3; 力度: 85(强)
当前时间(s): 48.309 音符关闭: B5; 力度: 55
当前时间(s): 48.31 音符打开: #F5; 力度: 85(强)
当前时间(s): 48.491 音符关闭: E3; 力度: 55
当前时间(s): 48.492 音符打开: #G3; 力度: 85(强)
当前时间(s): 48.496 音符关闭: #F5; 力度: 55
当前时间(s): 48.497 音符打开: E5; 力度: 85(强)
当前时间(s): 48.678 音符关闭: #G3; 力度: 55
当前时间(s): 48.679 音符打开: B3; 力度: 85(强)
当前时间(s): 48.679 音符打开: E4; 力度: 85(强)
当前时间(s): 48.683 音符关闭: E5; 力度: 55
当前时间(s): 48.684 音符打开: #D5; 力度: 85(强)
当前时间(s): 48.87 音符关闭: #D5; 力度: 55
当前时间(s): 48.871 音符打开: B4; 力度: 85(强)
当前时间(s): 49.053 音符关闭: B3; 力度: 55
当前时间(s): 49.053 音符关闭: E4; 力度: 55
当前时间(s): 49.054 音符打开: B3; 力度: 85(强)
当前时间(s): 49.057 音符关闭: B4; 力度: 55
当前时间(s): 49.059 音符打开: #F4; 力度: 85(强)
当前时间(s): 49.427 音符关闭: B3; 力度: 55
当前时间(s): 49.429 音符打开: #G2; 力度: 85(强)
当前时间(s): 49.432 音符关闭: #F4; 力度: 55
当前时间(s): 49.433 音符打开: #F4; 力度: 85(强)
当前时间(s): 49.433 音符打开: B4; 力度: 85(强)
当前时间(s): 49.614 音符关闭: #G2; 力度: 55
当前时间(s): 49.616 音符打开: #D3; 力度: 85(强)
当前时间(s): 49.619 音符关闭: #F4; 力度: 55
当前时间(s): 49.619 音符关闭: B4; 力度: 55
当前时间(s): 49.62 音符打开: #C5; 力度: 85(强)
当前时间(s): 49.801 音符关闭: #D3; 力度: 55
当前时间(s): 49.803 音符打开: #G3; 力度: 85(强)
当前时间(s): 49.806 音符关闭: #C5; 力度: 55
当前时间(s): 49.807 音符打开: #D5; 力度: 85(强)
当前时间(s): 49.989 音符关闭: #G3; 力度: 55
当前时间(s): 49.99 音符打开: B3; 力度: 85(强)
当前时间(s): 49.993 音符关闭: #D5; 力度: 55
当前时间(s): 49.995 音符打开: #F4; 力度: 85(强)
当前时间(s): 49.995 音符打开: B4; 力度: 85(强)
当前时间(s): 50.176 音符关闭: B3; 力度: 55
当前时间(s): 50.18 音符关闭: #F4; 力度: 55
当前时间(s): 50.18 音符关闭: B4; 力度: 55
当前时间(s): 50.182 音符打开: #C5; 力度: 85(强)
当前时间(s): 50.367 音符关闭: #C5; 力度: 55
当前时间(s): 50.369 音符打开: #D5; 力度: 85(强)
当前时间(s): 50.552 音符打开: E2; 力度: 85(强)
当前时间(s): 50.554 音符关闭: #D5; 力度: 55
当前时间(s): 50.556 音符打开: #F4; 力度: 85(强)
当前时间(s): 50.556 音符打开: B4; 力度: 85(强)
当前时间(s): 50.738 音符关闭: E2; 力度: 55
当前时间(s): 50.739 音符打开: B2; 力度: 85(强)
当前时间(s): 50.742 音符关闭: #F4; 力度: 55
当前时间(s): 50.742 音符关闭: B4; 力度: 55
当前时间(s): 50.743 音符打开: #F4; 力度: 85(强)
当前时间(s): 50.743 音符打开: #C5; 力度: 85(强)
当前时间(s): 50.925 音符关闭: B2; 力度: 55
当前时间(s): 50.926 音符打开: E3; 力度: 85(强)
当前时间(s): 50.929 音符关闭: #F4; 力度: 55
当前时间(s): 50.929 音符关闭: #C5; 力度: 55
当前时间(s): 50.93 音符打开: #D5; 力度: 85(强)
当前时间(s): 51.112 音符关闭: E3; 力度: 55
当前时间(s): 51.114 音符打开: #G3; 力度: 85(强)
当前时间(s): 51.116 音符关闭: #D5; 力度: 55
当前时间(s): 51.117 音符打开: #F4; 力度: 85(强)
当前时间(s): 51.117 音符打开: B4; 力度: 85(强)
当前时间(s): 51.303 音符关闭: #F4; 力度: 55
当前时间(s): 51.303 音符关闭: B4; 力度: 55
当前时间(s): 51.304 音符打开: #C5; 力度: 85(强)
当前时间(s): 51.49 音符关闭: #C5; 力度: 55
当前时间(s): 51.492 音符打开: #D5; 力度: 85(强)
当前时间(s): 51.674 音符关闭: #G3; 力度: 55
当前时间(s): 51.676 音符打开: B3; 力度: 85(强)
当前时间(s): 51.677 音符关闭: #D5; 力度: 55
当前时间(s): 51.679 音符打开: #F4; 力度: 85(强)
当前时间(s): 51.679 音符打开: B4; 力度: 85(强)
当前时间(s): 51.861 音符关闭: B3; 力度: 55
当前时间(s): 51.863 音符打开: #A3; 力度: 85(强)
当前时间(s): 51.864 音符关闭: #F4; 力度: 55
当前时间(s): 51.864 音符关闭: B4; 力度: 55
当前时间(s): 51.866 音符打开: #F4; 力度: 85(强)
当前时间(s): 51.866 音符打开: #C5; 力度: 85(强)
当前时间(s): 52.048 音符关闭: #A3; 力度: 55
当前时间(s): 52.05 音符打开: #G3; 力度: 85(强)
当前时间(s): 52.051 音符关闭: #F4; 力度: 55
当前时间(s): 52.051 音符关闭: #C5; 力度: 55
当前时间(s): 52.053 音符打开: #F4; 力度: 85(强)
当前时间(s): 52.053 音符打开: B4; 力度: 85(强)
当前时间(s): 52.236 音符关闭: #G3; 力度: 55
当前时间(s): 52.237 音符打开: #F3; 力度: 85(强)
当前时间(s): 52.239 音符关闭: #F4; 力度: 55
当前时间(s): 52.239 音符关闭: B4; 力度: 55
当前时间(s): 52.423 音符关闭: #F3; 力度: 55
当前时间(s): 52.424 音符打开: B2; 力度: 85(强)
当前时间(s): 52.428 音符打开: B4; 力度: 85(强)
当前时间(s): 52.428 音符打开: #F5; 力度: 85(强)
当前时间(s): 52.61 音符关闭: B2; 力度: 55
当前时间(s): 52.611 音符打开: #F3; 力度: 85(强)
当前时间(s): 52.797 音符关闭: #F3; 力度: 55
当前时间(s): 52.798 音符打开: B3; 力度: 85(强)
当前时间(s): 52.984 音符关闭: B3; 力度: 55
当前时间(s): 52.986 音符打开: #D4; 力度: 85(强)
当前时间(s): 53.171 音符关闭: #D4; 力度: 55
当前时间(s): 53.363 音符关闭: B4; 力度: 55
当前时间(s): 53.363 音符关闭: #F5; 力度: 55
当前时间(s): 53.365 音符打开: #F4; 力度: 85(强)
当前时间(s): 53.365 音符打开: B4; 力度: 85(强)
当前时间(s): 53.548 音符打开: #F2; 力度: 85(强)
当前时间(s): 53.55 音符关闭: #F4; 力度: 55
当前时间(s): 53.55 音符关闭: B4; 力度: 55
当前时间(s): 53.552 音符打开: #F4; 力度: 85(强)
当前时间(s): 53.552 音符打开: B4; 力度: 85(强)
当前时间(s): 53.733 音符关闭: #F2; 力度: 55
当前时间(s): 53.735 音符打开: #C3; 力度: 85(强)
当前时间(s): 53.737 音符关闭: #F4; 力度: 55
当前时间(s): 53.737 音符关闭: B4; 力度: 55
当前时间(s): 53.739 音符打开: #F4; 力度: 85(强)
当前时间(s): 53.739 音符打开: #C5; 力度: 85(强)
当前时间(s): 53.92 音符关闭: #C3; 力度: 55
当前时间(s): 53.922 音符打开: #F3; 力度: 85(强)
当前时间(s): 54.108 音符关闭: #F3; 力度: 55
当前时间(s): 54.109 音符打开: #G3; 力度: 85(强)
当前时间(s): 54.295 音符关闭: #G3; 力度: 55
当前时间(s): 54.296 音符打开: #A3; 力度: 85(强)
当前时间(s): 54.482 音符关闭: #A3; 力度: 55
当前时间(s): 54.483 音符打开: B3; 力度: 85(强)
当前时间(s): 54.669 音符关闭: B3; 力度: 55
当前时间(s): 54.67 音符打开: #D4; 力度: 85(强)
当前时间(s): 54.856 音符关闭: #D4; 力度: 55
当前时间(s): 54.858 音符打开: #C4; 力度: 85(强)
当前时间(s): 54.862 音符关闭: #F4; 力度: 55
当前时间(s): 54.862 音符关闭: #C5; 力度: 55
当前时间(s): 54.864 音符打开: #F4; 力度: 85(强)
当前时间(s): 55.043 音符关闭: #C4; 力度: 55
当前时间(s): 55.045 音符打开: B3; 力度: 85(强)
当前时间(s): 55.049 音符关闭: #F4; 力度: 55
当前时间(s): 55.051 音符打开: #G4; 力度: 85(强)
当前时间(s): 55.23 音符关闭: B3; 力度: 55
当前时间(s): 55.232 音符打开: #A3; 力度: 85(强)
当前时间(s): 55.236 音符关闭: #G4; 力度: 55
当前时间(s): 55.238 音符打开: #A4; 力度: 85(强)
当前时间(s): 55.417 音符关闭: #A3; 力度: 55
当前时间(s): 55.419 音符打开: #G2; 力度: 85(强)
当前时间(s): 55.423 音符关闭: #A4; 力度: 55
当前时间(s): 55.425 音符打开: #F4; 力度: 85(强)
当前时间(s): 55.425 音符打开: B4; 力度: 85(强)
当前时间(s): 55.605 音符关闭: #G2; 力度: 55
当前时间(s): 55.606 音符打开: #D3; 力度: 85(强)
当前时间(s): 55.611 音符关闭: #F4; 力度: 55
当前时间(s): 55.611 音符关闭: B4; 力度: 55
当前时间(s): 55.612 音符打开: #C5; 力度: 85(强)
当前时间(s): 55.792 音符关闭: #D3; 力度: 55
当前时间(s): 55.793 音符打开: #G3; 力度: 85(强)
当前时间(s): 55.798 音符关闭: #C5; 力度: 55
当前时间(s): 55.799 音符打开: #D5; 力度: 85(强)
当前时间(s): 55.979 音符关闭: #G3; 力度: 55
当前时间(s): 55.98 音符打开: B3; 力度: 85(强)
当前时间(s): 55.985 音符关闭: #D5; 力度: 55
当前时间(s): 55.986 音符打开: #F4; 力度: 85(强)
当前时间(s): 55.986 音符打开: B4; 力度: 85(强)
当前时间(s): 56.166 音符关闭: B3; 力度: 55
当前时间(s): 56.172 音符关闭: #F4; 力度: 55
当前时间(s): 56.172 音符关闭: B4; 力度: 55
当前时间(s): 56.173 音符打开: #F4; 力度: 85(强)
当前时间(s): 56.173 音符打开: #C5; 力度: 85(强)
当前时间(s): 56.359 音符关闭: #F4; 力度: 55
当前时间(s): 56.359 音符关闭: #C5; 力度: 55
当前时间(s): 56.361 音符打开: #D5; 力度: 85(强)
当前时间(s): 56.542 音符打开: E2; 力度: 85(强)
当前时间(s): 56.546 音符关闭: #D5; 力度: 55
当前时间(s): 56.548 音符打开: #F4; 力度: 85(强)
当前时间(s): 56.548 音符打开: B4; 力度: 85(强)
当前时间(s): 56.728 音符关闭: E2; 力度: 55
当前时间(s): 56.73 音符打开: B2; 力度: 85(强)
当前时间(s): 56.733 音符关闭: #F4; 力度: 55
当前时间(s): 56.733 音符关闭: B4; 力度: 55
当前时间(s): 56.735 音符打开: #C5; 力度: 85(强)
当前时间(s): 56.915 音符关闭: B2; 力度: 55
当前时间(s): 56.917 音符打开: E3; 力度: 85(强)
当前时间(s): 56.92 音符关闭: #C5; 力度: 55
当前时间(s): 56.922 音符打开: #D5; 力度: 85(强)
当前时间(s): 57.102 音符关闭: E3; 力度: 55
当前时间(s): 57.104 音符打开: #G3; 力度: 85(强)
当前时间(s): 57.108 音符关闭: #D5; 力度: 55
当前时间(s): 57.109 音符打开: #F4; 力度: 85(强)
当前时间(s): 57.109 音符打开: B4; 力度: 85(强)
当前时间(s): 57.295 音符关闭: #F4; 力度: 55
当前时间(s): 57.295 音符关闭: B4; 力度: 55
当前时间(s): 57.296 音符打开: #F4; 力度: 85(强)
当前时间(s): 57.296 音符打开: #C5; 力度: 85(强)
当前时间(s): 57.482 音符关闭: #F4; 力度: 55
当前时间(s): 57.482 音符关闭: #C5; 力度: 55
当前时间(s): 57.483 音符打开: #D5; 力度: 85(强)
当前时间(s): 57.664 音符关闭: #G3; 力度: 55
当前时间(s): 57.666 音符打开: B3; 力度: 85(强)
当前时间(s): 57.669 音符关闭: #D5; 力度: 55
当前时间(s): 57.67 音符打开: #F4; 力度: 85(强)
当前时间(s): 57.67 音符打开: B4; 力度: 85(强)
当前时间(s): 57.852 音符关闭: B3; 力度: 55
当前时间(s): 57.853 音符打开: #A3; 力度: 85(强)
当前时间(s): 57.856 音符关闭: #F4; 力度: 55
当前时间(s): 57.856 音符关闭: B4; 力度: 55
当前时间(s): 57.858 音符打开: #F4; 力度: 85(强)
当前时间(s): 57.858 音符打开: #C5; 力度: 85(强)
当前时间(s): 58.039 音符关闭: #A3; 力度: 55
当前时间(s): 58.04 音符打开: #G3; 力度: 85(强)
当前时间(s): 58.043 音符关闭: #F4; 力度: 55
当前时间(s): 58.043 音符关闭: #C5; 力度: 55
当前时间(s): 58.045 音符打开: #D5; 力度: 85(强)
当前时间(s): 58.226 音符关闭: #G3; 力度: 55
当前时间(s): 58.227 音符打开: #F3; 力度: 85(强)
当前时间(s): 58.23 音符关闭: #D5; 力度: 55
当前时间(s): 58.232 音符打开: #F4; 力度: 85(强)
当前时间(s): 58.232 音符打开: B4; 力度: 85(强)
当前时间(s): 58.413 音符关闭: #F3; 力度: 55
当前时间(s): 58.414 音符打开: B2; 力度: 85(强)
当前时间(s): 58.417 音符关闭: #F4; 力度: 55
当前时间(s): 58.417 音符关闭: B4; 力度: 55
当前时间(s): 58.419 音符打开: B4; 力度: 85(强)
当前时间(s): 58.419 音符打开: #F5; 力度: 85(强)
当前时间(s): 58.6 音符关闭: B2; 力度: 55
当前时间(s): 58.602 音符打开: #F3; 力度: 85(强)
当前时间(s): 58.787 音符关闭: #F3; 力度: 55
当前时间(s): 58.789 音符打开: B3; 力度: 85(强)
当前时间(s): 58.974 音符关闭: B3; 力度: 55
当前时间(s): 58.976 音符打开: #D4; 力度: 85(强)
当前时间(s): 59.161 音符关闭: #D4; 力度: 55
当前时间(s): 59.355 音符关闭: B4; 力度: 55
当前时间(s): 59.355 音符关闭: #F5; 力度: 55
当前时间(s): 59.356 音符打开: #F4; 力度: 85(强)
当前时间(s): 59.356 音符打开: B4; 力度: 85(强)
当前时间(s): 59.538 音符打开: #F2; 力度: 85(强)
当前时间(s): 59.542 音符关闭: #F4; 力度: 55
当前时间(s): 59.542 音符关闭: B4; 力度: 55
当前时间(s): 59.543 音符打开: #F4; 力度: 85(强)
当前时间(s): 59.543 音符打开: B4; 力度: 85(强)
当前时间(s): 59.724 音符关闭: #F2; 力度: 55
当前时间(s): 59.725 音符打开: #C3; 力度: 85(强)
当前时间(s): 59.729 音符关闭: #F4; 力度: 55
当前时间(s): 59.729 音符关闭: B4; 力度: 55
当前时间(s): 59.73 音符打开: #F4; 力度: 85(强)
当前时间(s): 59.73 音符打开: #C5; 力度: 85(强)
当前时间(s): 59.911 音符关闭: #C3; 力度: 55
当前时间(s): 59.912 音符打开: #F3; 力度: 85(强)
当前时间(s): 60.098 音符关闭: #F3; 力度: 55
当前时间(s): 60.099 音符打开: #G3; 力度: 85(强)
当前时间(s): 60.285 音符关闭: #G3; 力度: 55
当前时间(s): 60.286 音符打开: #A3; 力度: 85(强)
当前时间(s): 60.472 音符关闭: #A3; 力度: 55
当前时间(s): 60.474 音符打开: B3; 力度: 85(强)
当前时间(s): 60.659 音符关闭: B3; 力度: 55
当前时间(s): 60.661 音符打开: #D4; 力度: 85(强)
当前时间(s): 60.666 音符关闭: #F4; 力度: 55
当前时间(s): 60.666 音符关闭: #C5; 力度: 55
当前时间(s): 60.846 音符关闭: #D4; 力度: 55
当前时间(s): 60.848 音符打开: #C4; 力度: 85(强)
当前时间(s): 61.033 音符关闭: #C4; 力度: 55
当前时间(s): 61.035 音符打开: B3; 力度: 85(强)
当前时间(s): 61.042 音符打开: #A4; 力度: 85(强)
当前时间(s): 61.221 音符关闭: B3; 力度: 55
当前时间(s): 61.222 音符打开: #A3; 力度: 85(强)
当前时间(s): 61.228 音符关闭: #A4; 力度: 55
当前时间(s): 61.23 音符打开: #G4; 力度: 85(强)
当前时间(s): 61.408 音符关闭: #A3; 力度: 55
当前时间(s): 61.409 音符打开: #D3; 力度: 85(强)
当前时间(s): 61.409 音符打开: #F3; 力度: 85(强)
当前时间(s): 61.409 音符打开: #A3; 力度: 85(强)
当前时间(s): 61.415 音符关闭: #G4; 力度: 55
当前时间(s): 61.417 音符打开: #A4; 力度: 85(强)
当前时间(s): 61.79 音符关闭: #A4; 力度: 55
当前时间(s): 61.791 音符打开: #G4; 力度: 85(强)
当前时间(s): 61.977 音符关闭: #G4; 力度: 55
当前时间(s): 61.978 音符打开: #A4; 力度: 85(强)
当前时间(s): 62.164 音符关闭: #A4; 力度: 55
当前时间(s): 62.166 音符打开: #A4; 力度: 85(强)
当前时间(s): 62.351 音符关闭: #A4; 力度: 55
当前时间(s): 62.353 音符打开: #G4; 力度: 85(强)
当前时间(s): 62.538 音符关闭: #G4; 力度: 55
当前时间(s): 62.54 音符打开: B4; 力度: 85(强)
当前时间(s): 62.907 音符关闭: #F3; 力度: 55
当前时间(s): 62.907 音符关闭: #D3; 力度: 55
当前时间(s): 62.907 音符关闭: #A3; 力度: 55
当前时间(s): 62.909 音符打开: E3; 力度: 85(强)
当前时间(s): 62.909 音符打开: #G3; 力度: 85(强)
当前时间(s): 62.909 音符打开: B3; 力度: 85(强)
当前时间(s): 63.288 音符关闭: B4; 力度: 55
当前时间(s): 63.289 音符打开: #G4; 力度: 85(强)
当前时间(s): 63.663 音符关闭: #G4; 力度: 55
当前时间(s): 63.664 音符打开: #G4; 力度: 85(强)
当前时间(s): 64.407 音符关闭: E3; 力度: 55
当前时间(s): 64.407 音符关闭: #G3; 力度: 55
当前时间(s): 64.407 音符关闭: B3; 力度: 55
当前时间(s): 64.409 音符打开: #F3; 力度: 85(强)
当前时间(s): 64.409 音符打开: #A3; 力度: 85(强)
当前时间(s): 64.409 音符打开: #C4; 力度: 85(强)
当前时间(s): 64.412 音符关闭: #G4; 力度: 55
当前时间(s): 64.414 音符打开: #C5; 力度: 85(强)
当前时间(s): 64.787 音符关闭: #C5; 力度: 55
当前时间(s): 64.788 音符打开: #C5; 力度: 85(强)
当前时间(s): 64.974 音符关闭: #C5; 力度: 55
当前时间(s): 64.975 音符打开: #C5; 力度: 85(强)
当前时间(s): 65.349 音符关闭: #C5; 力度: 55
当前时间(s): 65.35 音符打开: #D5; 力度: 85(强)
当前时间(s): 65.536 音符关闭: #D5; 力度: 55
当前时间(s): 65.537 音符打开: E5; 力度: 85(强)
当前时间(s): 65.907 音符关闭: #F3; 力度: 55
当前时间(s): 65.907 音符关闭: #A3; 力度: 55
当前时间(s): 65.907 音符关闭: #C4; 力度: 55
当前时间(s): 65.908 音符打开: #G3; 力度: 85(强)
当前时间(s): 65.908 音符打开: B3; 力度: 85(强)
当前时间(s): 65.908 音符打开: #D4; 力度: 85(强)
当前时间(s): 65.91 音符关闭: E5; 力度: 55
当前时间(s): 65.912 音符打开: B4; 力度: 85(强)
当前时间(s): 65.912 音符打开: #D5; 力度: 85(强)
当前时间(s): 67.035 音符关闭: B4; 力度: 55
当前时间(s): 67.035 音符关闭: #D5; 力度: 55
当前时间(s): 67.406 音符关闭: #G3; 力度: 55
当前时间(s): 67.406 音符关闭: B3; 力度: 55
当前时间(s): 67.406 音符关闭: #D4; 力度: 55
当前时间(s): 67.408 音符打开: E3; 力度: 85(强)
当前时间(s): 67.408 音符打开: #G3; 力度: 85(强)
当前时间(s): 67.408 音符打开: #C4; 力度: 85(强)
当前时间(s): 67.412 音符打开: #A4; 力度: 85(强)
当前时间(s): 67.785 音符关闭: #A4; 力度: 55
当前时间(s): 67.786 音符打开: #G4; 力度: 85(强)
当前时间(s): 67.972 音符关闭: #G4; 力度: 55
当前时间(s): 67.973 音符打开: #A4; 力度: 85(强)
当前时间(s): 68.159 音符关闭: #A4; 力度: 55
当前时间(s): 68.16 音符打开: #A4; 力度: 85(强)
当前时间(s): 68.346 音符关闭: #A4; 力度: 55
当前时间(s): 68.347 音符打开: #G4; 力度: 85(强)
当前时间(s): 68.533 音符关闭: #G4; 力度: 55
当前时间(s): 68.535 音符打开: B4; 力度: 85(强)
当前时间(s): 68.906 音符关闭: E3; 力度: 55
当前时间(s): 68.906 音符关闭: #G3; 力度: 55
当前时间(s): 68.906 音符关闭: #C4; 力度: 55
当前时间(s): 68.907 音符打开: E3; 力度: 85(强)
当前时间(s): 68.907 音符打开: #G3; 力度: 85(强)
当前时间(s): 68.907 音符打开: #C4; 力度: 85(强)
当前时间(s): 69.283 音符关闭: B4; 力度: 55
当前时间(s): 69.284 音符打开: #G4; 力度: 85(强)
当前时间(s): 69.657 音符关闭: #G4; 力度: 55
当前时间(s): 69.659 音符打开: #F4; 力度: 85(强)
当前时间(s): 70.031 音符关闭: #C4; 力度: 55
当前时间(s): 70.406 音符关闭: E3; 力度: 55
当前时间(s): 70.406 音符关闭: #G3; 力度: 55
当前时间(s): 70.407 音符关闭: #F4; 力度: 55
当前时间(s): 70.407 音符打开: #F2; 力度: 85(强)
当前时间(s): 70.407 音符打开: #C3; 力度: 85(强)
当前时间(s): 70.407 音符打开: #F3; 力度: 85(强)
当前时间(s): 70.409 音符打开: #F4; 力度: 85(强)
当前时间(s): 70.409 音符打开: #D5; 力度: 85(强)
当前时间(s): 70.78 音符关闭: #F2; 力度: 55
当前时间(s): 70.78 音符关闭: #C3; 力度: 55
当前时间(s): 70.78 音符关闭: #F3; 力度: 55
当前时间(s): 70.782 音符打开: #F2; 力度: 85(强)
当前时间(s): 70.967 音符关闭: #F2; 力度: 55
当前时间(s): 70.969 音符打开: #C3; 力度: 85(强)
当前时间(s): 71.154 音符关闭: #C3; 力度: 55
当前时间(s): 71.156 音符打开: #F2; 力度: 85(强)
当前时间(s): 71.341 音符关闭: #F2; 力度: 55
当前时间(s): 71.343 音符打开: #C3; 力度: 85(强)
当前时间(s): 71.529 音符关闭: #C3; 力度: 55
当前时间(s): 71.53 音符打开: #F2; 力度: 85(强)
当前时间(s): 71.716 音符关闭: #F2; 力度: 55
当前时间(s): 71.717 音符打开: #C3; 力度: 85(强)
当前时间(s): 71.719 音符关闭: #F4; 力度: 55
当前时间(s): 71.719 音符关闭: #D5; 力度: 55
当前时间(s): 71.721 音符打开: #C5; 力度: 85(强)
当前时间(s): 71.903 音符关闭: #C3; 力度: 55
当前时间(s): 71.904 音符打开: #F2; 力度: 85(强)
当前时间(s): 71.906 音符关闭: #C5; 力度: 55
当前时间(s): 71.908 音符打开: #F4; 力度: 85(强)
当前时间(s): 71.908 音符打开: B4; 力度: 85(强)
当前时间(s): 72.465 音符关闭: #F2; 力度: 55
当前时间(s): 72.466 音符打开: #C3; 力度: 85(强)
当前时间(s): 72.652 音符关闭: #C3; 力度: 55
当前时间(s): 72.654 音符打开: #C3; 力度: 85(强)
当前时间(s): 73.027 音符关闭: #C3; 力度: 55
当前时间(s): 73.028 音符打开: #F3; 力度: 85(强)
当前时间(s): 73.218 音符关闭: #F4; 力度: 55
当前时间(s): 73.218 音符关闭: B4; 力度: 55
当前时间(s): 73.22 音符打开: #C5; 力度: 85(强)
当前时间(s): 73.401 音符关闭: #F3; 力度: 55
当前时间(s): 73.403 音符打开: #A3; 力度: 85(强)
当前时间(s): 73.406 音符关闭: #C5; 力度: 55
当前时间(s): 73.407 音符打开: #C5; 力度: 85(强)
当前时间(s): 73.593 音符关闭: #C5; 力度: 55
当前时间(s): 73.594 音符打开: B4; 力度: 85(强)
当前时间(s): 73.686 音符关闭: B4; 力度: 55
当前时间(s): 73.688 音符打开: #C5; 力度: 85(强)
当前时间(s): 73.779 音符关闭: #C5; 力度: 55
当前时间(s): 73.781 音符打开: #F5; 力度: 85(强)
当前时间(s): 73.966 音符关闭: #F5; 力度: 55
当前时间(s): 73.968 音符打开: B5; 力度: 85(强)
当前时间(s): 74.06 音符关闭: B5; 力度: 55
当前时间(s): 74.061 音符打开: #C6; 力度: 85(强)
当前时间(s): 74.151 音符关闭: #A3; 力度: 55
当前时间(s): 74.153 音符关闭: #C6; 力度: 55
当前时间(s): 74.155 音符打开: #F6; 力度: 85(强)
当前时间(s): 74.34 音符关闭: #F6; 力度: 55
当前时间(s): 74.342 音符打开: B3; 力度: 85(强)
当前时间(s): 74.342 音符打开: #F4; 力度: 85(强)
当前时间(s): 74.342 音符打开: B4; 力度: 85(强)
